Subject,Assessment,Obtained Marks
Calculus & Analytical Geometry,Mid Term,10.00
Calculus & Analytical Geometry,Quiz,9.00
Calculus & Analytical Geometry,Assignment,13.00
Calculus & Analytical Geometry,Presentation,9.00
Calculus & Analytical Geometry,Class Participation,5.00
Digital Logic & Design (Lab),Lab Task,20.00
Digital Logic & Design (Lab),Lab Viva,20.00
Digital Logic & Design (Lab),Project,0.00
Digital Logic & Design (Theory),mid,16.00
Digital Logic & Design (Theory),Quiz,18.00
Digital Logic & Design (Theory),assigment,18.00
Expository Writing,assignment,18.00
Expository Writing,assignment,16.00
Expository Writing,Mid Term,9.00
Expository Writing,Final Term,0.00
Islamic Studies,Presentation,16.00
Islamic Studies,Assignment,18.00
Islamic Studies,Mid Term,12.00
Object Oriented Programming (Theory),B_F_Assign,9.00
Object Oriented Programming (Theory),B_M_Assign,9.00
Object Oriented Programming (Theory),B_F_Quiz,9.00
Object Oriented Programming (Theory),B_M_Quiz,9.00
Object Oriented Programming (Theory),MidPaper,19.00
Probability & Statistics,Assignment,13.00
Probability & Statistics,Class Participation,4.00
Probability & Statistics,Presentation,5.00
Probability & Statistics,Mid Term,12.00
Probability & Statistics,Quiz,4.00
